id;cat_name;count
1993;График приема граждан: Управление записи актов гражданского состояния города Москвы;4
1994;Справочник персоналий: Управление делами Мэра и Правительства Москвы;10
1995;График приема граждан: Департамент региональной безопасности и противодействия коррупции города Москвы;6
1997;Справочник персоналий: Департамент региональной безопасности и противодействия коррупции города Москвы;13
1998;Реестр государственных услуг, предоставляемых в Центрах госуслуг;251
1999;Перечень организаций, имеющих лицензию на выдачу справок для получения водительских удостоверений, ношение оружия и другие;8125
2000;Перечень ведомств, предоставляющих услуги через Центры госуслуг;164
2001;Перечень олимпиад школьников;653
2002;(Архив) Результаты голосования «Станции «Войковские»: нужны ли новые названия?»;304074
2003;График приема граждан: Департамент по обеспечению деятельности мировых судей города Москвы;7
2004;Справочник персоналий: Департамент по обеспечению деятельности мировых судей города Москвы;7
2005;График приема граждан: Комитет ветеринарии города Москвы;4
2006;Реестр специалистов в области ветеринарии, занимающихся предпринимательской деятельностью на территории Москвы;321
2007;(Архив) Динамика регистрации актов гражданского состояния;124
2008;(Архив) Число зарегистрированных актов о рождении по годам;10
2009;Сведения о наиболее популярных женских именах среди новорожденных;6800
2011;Сведения о наиболее популярных мужских именах среди новорожденных;6800
2012;(Архив) Число браков по годам;124
2013;(Архив) Число разводов по годам;124
2021;Реестр аккредитованных образовательных учреждений, расположенных на территории субъектов Российской Федерации;876
2022;Численность постоянного населения старше трудоспособного возраста;11
2023;Перечень негосударственных образовательных организаций города Москвы, реализующих программу дошкольного образования;142
2024;Реестр лицензий на образовательную деятельность, выданных органами исполнительной власти субъектов Российской Федерации, осуществляющими переданные полномочия Российской Федерации в области образования;4312
2026;Справочник персоналий: Департамент культуры города Москвы;24
2027;(Архив) Пункты приема вторсырья Департамента жилищно-коммунального хозяйства и благоустройства города Москвы;322
2028;(Архив) Пункты приема макулатуры Департамента жилищно-коммунального хозяйства и благоустройства города Москвы;322
2029;(Архив) Пункты приема пластика Департамента жилищно-коммунального хозяйства и благоустройства города Москвы;46
2030;(Архив) Пункты приема стекла Департамента жилищно-коммунального хозяйства и благоустройства города Москвы;322
2031;(Архив) Пункты раздельного сбора мусора Департамента жилищно-коммунального хозяйства и благоустройства города Москвы;322
2067;График приема граждан: Департамент торговли и услуг города Москвы;5
