Широта	Долгота	Наименование	Адрес	Категория	Подкатегория	Дата парсинга
55.77984	37.60162	Ресторан Дружба	Новослободская ул., д. 4 ТЦ "Дружба", Москва 127055 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.835358	37.490463	Пилпили	ул. Адмирала Макарова, 6/13, Москва 125212 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.738735	37.409603	Zames	ул. Ярцевская, 19, Москва 121552 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.76908	37.62321	The Mad Cook	Цветной бул., 2 entrance from M.Sergievskiy lane, Москва 127051 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.757008	37.603043	Рецептор	ул. Большая Никитская, д. 22/2 (м. Охотный Ряд, Арбатская, Пушкинская), Москва 121069 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.766003	37.62016	Узбекистан. навойи	ул. Неглинная, д. 29, Москва 127051 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.769203	37.595825	Кафе "Чайковский"	Триумфальная площадь, 4/31 Концертный зал, Москва Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.78228	37.59931	Кафе Батони	Новослободская ул., 18, Москва 127055 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.76416	37.59546	Mollusca на Патриках	Большой Козихинский переулок, 19/6, Москва 123001 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.761703	37.61973	Мистер Ли	Кузнецкий Мост ул., 7 in front of TSUM, Москва 107031 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.747086	37.534676	[KU:] Рамен Изакая Бар	Пресненская набережная,  10/2, Москва 123112 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.762352	37.634342	MarketPlace	Улица Мясницкая, дом 13, Москва 101000 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
56.74061	37.173717	Бар Why Not	проспект Боголюбова д.5, Дубна 141986 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.58807	37.663673	Кухня Полли	ул. Бирюлевская, 38, стр. 3, Москва 115372 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.762875	37.636505	Петрович	ул. Мясницкая, д. 24, стр. 3, Москва 101000 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.76259	37.59188	Ай Лав Кейк	Большой Патриарший пер., 4 м. Маяковская, Москва 123001 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
