Широта	Долгота	Наименование	Адрес	Категория	Подкатегория	Дата парсинга
61.78014	34.35759	Три звезды	Анохина, 27, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.83116	34.30527	Корчма Солоха	Соломенское шоссе, 14, Петрозаводск Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.76124	34.32193	Black Star Burger	Проспект Лесной,  47в, Петрозаводск 185014 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.80592	34.2911	Relax	Новосулажгорская, 19в, Петрозаводск 185013 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78814	34.38588	Маски	Карла Маркса проспект, д. 3а, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.69757	30.67994	Аркобалено	Карельская, 52, Сортавала 186790 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.700592	30.691837	Дионис	ул. Комсомольская, 2, Сортавала 186790 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
60.97817	32.95973	Кафе Премьер	ул. Свободы, 5, Олонец 186000 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.814	36.534046	На углях	Комсомольская ул., 63, Пудож 186150 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.80112	34.32696	Victoria	Кутузова, 44а, Петрозаводск 185001 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.788113	34.384098	Зигмунд Фрейд	Карла Маркса проспект, 14, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78815	34.36534	Ленобщепит	Ленина проспект, 29, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78342	34.36549	Форвард	Герцена, 35, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78394	34.36621	Барселона	Гоголя, 1, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78623	34.345207	Карельская усадьба	Шотмана, 27, Петрозаводск 185001 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78791	34.33749	Виноград	ул. Чапаева, д. 41, Петрозаводск 185002 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
