Широта	Долгота	Наименование	Адрес	Категория	Подкатегория	Дата парсинга
53.53933	49.35825	Лада-Восход	ул. 70 лет Октября, 28, Тольятти 445047 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.24856	50.26886	Эдем	ул. Алма-Атинская, д. 89 корп. 3, Самара 443098 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.38306	49.10053	Санаторная	поселок Волжский Утес, д. 13, п. Волжский Утёс 446740 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
52.98841	49.71583	Алекс гостиничный комплекс	Железнодорожная улица, д. 15, Чапаевск 446100 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.18053	50.10344	Гостиница "Мой город"	ул. Братьев Коростелевых, 268 Пушкина, 268, Самара 443001 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.17764	50.19361	Отель Ницца	Ул. Авроры, 36, Самара 443017 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.3591	51.33582	Гостиница "Гостиный двор"	ул. Строителей, 3, Отрадный Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.47806	49.51272	Отель 1001 ночь	ул. Куйбышева 50, Тольятти 445041 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.19533	50.17817	Комильфо, гостинично-ресторанный комплекс	Революционная улица, д. 141, Самара 443069 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.453323	49.53473	Раздолье	Бурлацкая, 8, Тольятти 445091 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.40584	49.48125	отель Альпина	улица Муравленко, д. 32, Жигулевск 445350 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.20232	50.22493	Ниагара	ул. Победы, 81, Самара 443083 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.13044	48.42431	Отель Энергия Сызрани	50 лет Октября проспект, д. 5, Сызрань 446028 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.177998	50.075104	Купеческий Дом	ул. Водников / Кутякова, 1/6, Самара 443099 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.4878	49.50043	Флагман	Громовой ул., 35, Тольятти 445000 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.18035	50.07937	Гостиница "Галчонок"	Чапаевская ул., 232А, Самара 443010 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.18452	50.1042	Friend's Forever	Leningradskaya Ulitsa d. 100, Самара 443020 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.55043	49.30149	Отель Сильвер	ул. Ботаническая, 58, Тольятти 445036 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.44096	50.17346	Склон	Рябиновая, 6, Малая Царевщина 446397 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.21689	50.275715	Сафари	ул. Теннисная, д. 39а, Самара 443092 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.5442	50.28101	Загородный комплекс Циолковский	поселок Жареный Бугор, Самара 446378 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.18875	50.14374	Отель Гранада	ул. Владимирская 41А, Самара 443082 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.56916	49.45917	Гостиница "Три звезды"	ул. Новозаводская, 6Б, Тольятти 445007 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.23875	50.18646	Фрунзенец	ул. Советской Армии, 241, Самара 443011 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
