Широта	Долгота	Наименование	Адрес	Категория	Подкатегория	Дата парсинга
55.030445	43.25114	Гостиница "Заречная"	ул. Полевая,д. 2, Дивеево 607320 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.37049	43.8429	Гостиница Мона Лиза	Хальзовская ул., 59, Нижний Новгород 603050 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.29134	44.01528	Гостиница "Юбилейная"	ул. Юбилейная, 16а, Нижний Новгород 603146 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.29354	44.07651	Hotel Privet, Ya Doma!	Hotel Privet Kazanskoe sh 6, Нижний Новгород 603087 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
55.98209	43.09241	Павловские Бани	ул. Трудовая 57, Павлово 606107 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.123672	44.38982	Guest House Volga-Volga	Комплекс Волга деревня Михальчикво, Безводное 607675 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.32301	44.02875	Hotel On Bolshaya Pesherskaya	Bol'shaya Pecherskaya 45a, Нижний Новгород 603155 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.02235	45.02874	Виктория	19, ул.Чапаева, Лысково Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.30588	43.99096	Академсервис гостиница	Пушкина улица, д. 8, Нижний Новгород 603022 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.33351	43.92468	Стрелка	ул. Народная, 43а, Нижний Новгород 603167 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.32447	43.94577	Hotel Marton Gordeevsky	Ul. Gordeevskaya, 20B, Нижний Новгород 603116 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
55.351234	42.028423	Baza Otdyxa Metalurg	1 Stroyeniye, etazh, kvartira i t. p., Выкса 607044 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
55.04249	43.25363	Паломнический корпус Жирякова 17	Ул. Жирякова дом 17, Дивеево Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.000134	43.01891	База отдыха "Кусторка"	Тумботино Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.51797	43.57981	Отель "FRESH"	пр. Дзержинского 190, Балахна Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.05855	45.8631	Гостиница "553 км"	Зубова улица, д. 54, Воротынец 606260 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.3252	44.006	Ветлуга	Алексеевская, 4, Нижний Новгород 603005 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.35811	44.05266	Хостел Бор	ул. Интернациональная, д.32А Ulitsa Sovetskaya 7/4, Бор 606440 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
55.23369	43.08763	Гостиничный комплекс Северное сияние	ул. Южная, 2, Ардатов Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.31591	43.8725	Красных Зорь	Ulitsa Krasnykh Zor 1A, Нижний Новгород 603047 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
54.9303	43.33767	Гостиница "Центральная"	ул. Академика Сахарова, 9, Саров 607187 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.28989	44.08313	Порт Тортуга	Печеры Слобода, д. 375, Нижний Новгород 603093 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.26256	44.02216	Цветы	Академика Сахарова, 113 корп. 1, Нижний Новгород 603136 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
55.03982	43.23978	Гостевой дом Юлия	пер. Прудовый, д.3Б, Дивеево 607320 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.64993	43.49086	Klub-Otel' U Kamina	Ulitsa Tsiolkovskogo Dom 7, Городец 606500 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.3319	43.91332	SV-Hostel Kuybysheva	65 Ulitsa Kuybysheva, Нижний Новгород 603074 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.10852	43.49888	Рубин	ул. Пушкина, д.24, Богородск 607603 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.294	44.08718	Колумб	п. Октябрьский 606480 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
