с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Варадеро,"Рязанский проспект, д. 2б, Москва 109052 Россия",55.73045,37.73702
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Kitchen,"Театральный пр., 5/1, Москва 101000 Россия",55.75838,37.62168
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Шекспир,"Камергерский пер, 6 стр. 3, Москва 125009 Россия",55.76001,37.61295
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Золотая роща,"Бестужевых, д. 14/1, Москва 127566 Россия",55.87107,37.60971
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Шашлык И Стейк,"Сущёвский Вал, 5 стр. 21, Москва 127018 Россия",55.793343,37.592552
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Теремок,"Осенний бульвар, 12, Москва 121614 Россия",55.75237,37.41009
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Сентябрь,"улица Покровка, 20/1, Москва 101000 Россия",55.75818,37.63934
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Кафе Три Правила,"Красносельская, 3А ТДК Тройка, Москва 107140 Россия",55.785915,37.664276
2020-10-23,Московская Область,Видное,Рестораны,,,Mojo,"Старо-Нагорная, 21, Видное 142703 Россия",55.56135,37.68465
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Райская Трапеза,"ул. Озёрная, 52, Москва 119361 Россия",55.66395,37.43626
2020-10-23,Москва,Рестораны Москвы,Рестораны,,Фастфуд,Макдоналдс,"Боровское шоссе, 38, Москва 119634 Россия",55.65846,37.41517
2020-10-23,Московская Область,Щелково,Рестораны,,,Kinza,"ул. Талсинская, д. 9/2, Щелково 141100 Россия",55.92486,37.99698
2020-10-23,Московская Область,Мытищинский район,Рестораны,,Фастфуд,KFC,"Селезнёва, 33, Мытищи Россия",55.90775,37.75122
2020-10-23,Москва,Рестораны Москвы,Рестораны,,Фастфуд,Сабвей,"Викторенко ул., 4, Москва 125167 Россия",55.799297,37.527935
2020-10-23,Московская Область,Серпухов,Рестораны,,,Кафе Винегрет,"ул. Революции, 5а, Серпухов 142200 Россия",54.91258,37.41773
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,PhoBo,"23-й км, Киевское ш., 1 ТРЦ Саларис, Москва 108811 Россия",55.624752,37.421387
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Салтыков,"Суворовская пл., д. 2, стр. 1, Москва 127473 Россия",55.78086,37.61527
2020-10-23,Москва,Рестораны Москвы,Рестораны,,Паб,"Ресторан ""Трёшка""","Ленинградское шоссе, 3/1, Москва 125026 Россия",55.808792,37.5055
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Sato Bar Seafood & Wine,"Новодмитровская,  2/7, Москва 127015 Россия",55.80217,37.591686
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,ArmaCraft,"Нижний Сусальный пер., 5с9, Москва 613310 Россия",55.76124,37.66293
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Столешники,"Столешников переулок, 6, cтр. 1, Москва 125009 Россия",55.76168,37.61141
2020-10-23,Московская Область,Серпухов,Рестораны,,,Михайловский,"ул. Луначарского, 72, Серпухов 142200 Россия",54.91144,37.42567
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Ваби Саби,"Вернадского пр-т, д. 6, (ТЦ ""Капитолий"") House 6, Москва Россия",55.69198,37.52777
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Кайсар,"Мнёвники, 3 к1, Москва 123308 Россия",55.77457,37.49894
2020-10-23,Московская Область,Городской округ Домодедово,Рестораны,,,Помпончик,"трасса М4 Дон, 36 км, Домодедово Россия",55.453773,37.781967
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Бегония,"Минская ул., д. 11, Москва 121108 Россия",55.73426,37.48703
