с0_id,с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
4413252,2020-12-15,Калининградская область,Светлогорский район,Отели,,,"Гостиница ""Олимп""","Калининградский проспект, дом 72В, Светлогорск 238560 Россия",54.937923,20.140991
2550356,2020-12-15,Калининградская область,Зеленоградский район,Отели,,,Вилла Лана,"ул. Гагарина, 3A, Зеленоградск 238530 Россия",54.959057,20.46877
14528889,2020-12-15,Калининградская область,Калининград,Отели,,,"Отель ""У Медового Mоста""","ул. Октябрьская, 2, Калининград 236006 Россия",54.70525,20.514465
2465512,2020-12-15,Калининградская область,Калининград,Отели,,,Стрелецкий,"ул. Стрелецкая, д. 7, Калининград 236038 Россия",54.718296,20.544815
1785025,2020-12-15,Калининградская область,Светлогорский район,Отели,,,"Арт-отель ""Люмьер""","Лермонтовский пер., д. 2а, Светлогорск 238560 Россия",54.94372,20.148998
2707433,2020-12-15,Калининградская область,Светлогорский район,Отели,,,Дом Сказочника гостевой дом,"Гофмана переулок, д. 4, Светлогорск 238560 Россия",54.9405,20.146006
12257212,2020-12-15,Калининградская область,Калининград,Отели,,,Самый центр Хостел,"ул. Генерала Галицкого, 1-3, Калининград 236006 Россия",54.716103,20.499498
1461307,2020-12-15,Калининградская область,Калининград,Отели,,,Гостиница Обертайх ,"Верхнеозерная улица, д. 11, Калининград 236008 Россия",54.730247,20.519573
10417114,2020-12-15,Калининградская область,Калининград,Отели,,,KD Hostel,"Ленинский проспект, 1, Калининград 236006 Россия",54.71844,20.5023
2335277,2020-12-15,Калининградская область,Калининград,Отели,,,Юбилейный Люкс,"ул. Университетская, д. 2г, Калининград 236016 Россия",54.71383,20.50951
2280024,2020-12-15,Калининградская область,Светлогорский район,Отели,,,Универсал,"Некрасова улица, д. 3, Светлогорск 238560 Россия",54.942635,20.147223
8263278,2020-12-15,Калининградская область,Калининград,Отели,,,Crazy Dog Hostel,"ул. Тельмана 25, Калининград 236008 Россия",54.734356,20.521544
2559639,2020-12-15,Калининградская область,Зеленоградский район,Отели,,,Кошкин Дом,"ул. Гагарина, д. 1а, Зеленоградск 238530 Россия",54.959423,20.469717
2692621,2020-12-15,Калининградская область,Зеленоградский район,Отели,,,Гостевой дом Элиза Заркау,"ул. Набережная, 2, Лесной 238530 Россия",55.011303,20.619295
8435484,2020-12-15,Калининградская область,Калининград,Отели,,,Лайк Хостел,"ул. Тихая, 17, Калининград 236029 Россия",54.729862,20.50689
11965503,2020-12-15,Калининградская область,Калининград,Отели,,,Хостел Суффикс,"УЛИЦА МАРШАЛА БАГРАМЯНА 36, Калининград 236006 Россия",54.707092,20.491615
16858560,2020-12-15,Калининградская область,Зеленоградский район,Отели,,,Элиза БонАпарт,"Железнодорожная, 26a, Зеленоградск 238530 Россия",54.95823,20.472
8499124,2020-12-15,Калининградская область,Зеленоградский район,Рестораны,,,Пиццерия Геркулес,"ул. Пограничная, 14а Гостиница Геркулес, Зеленоградск 238326 Россия",54.95993,20.48414
1106530,2020-12-15,Калининградская область,Калининград,Рестораны,,,Солнечный камень,"Маршала Василевского площадь, 3, Калининград 236016 Россия",54.72216,20.523869
18380144,2020-12-15,Калининградская область,Калининград,Рестораны,,Фастфуд,Лепим и варим,"Проспект Мира, 56а Mosaic Steps, Калининград 236019 Россия",54.72114,20.48277
3776560,2020-12-15,Калининградская область,Светлогорский район,Рестораны,,"Кафе,Фастфуд",Блинная,"ул. Октябрьская, 22, Светлогорск Россия",54.943478,20.153793
10121851,2020-12-15,Калининградская область,Калининград,Рестораны,,,Villa Ченто,"Пл. Победы, 1, Калининград 236022 Россия",54.719585,20.500826
13115586,2020-12-15,Калининградская область,Светлогорский район,Рестораны,,Кафе,ErmaCoffee,"Калининградский проспект, 5а, Светлогорск 238563 Россия",54.92679,20.17269
21211446,2020-12-15,Калининградская область,Светлогорский район,Рестораны,,,Алт Плац,"Ленина,  17а, Светлогорск 238560 Россия",54.944286,20.155333
3756420,2020-12-15,Калининградская область,Светлогорский район,Рестораны,,,Falke Hotel Resort,"ул. Ленина, д. 16, Светлогорск Россия",54.94397,20.15831
6129662,2020-12-15,Калининградская область,Калининград,Рестораны,,,Астер,"Литовский Вал, 1, Калининград 236016 Россия",54.722424,20.526342
