с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
2020-10-23,Самарская область,Самара,Рестораны,,,Джонни Ву,"Красноармейская, 1а, Самара 443010 Россия",53.194633,50.09347
2020-10-23,Самарская область,Самара,Рестораны,,,Хачапури,"ул. Куйбышева, 89, Самара 443099 Россия",53.186962,50.088688
2020-10-23,Самарская область,Самара,Рестораны,,,Софи и Аннабель,"ул. Молодогвардейская, 182, Самара 443010 Россия",53.19979,50.10494
2020-10-23,Самарская область,Сызрань,Отели,,,Гостинично-развлекательный комплекс Каскад,"ул. Дамбовская д.1, Сызрань 446001 Россия",53.157043,48.488033
2020-10-23,Самарская область,Самара,Рестораны,,,Чиполучо,"Южное шоссе,  5, Самара 443085 Россия",53.13813,50.173073
2020-10-23,Самарская область,Курумоч,Отели,,,Эко-отель Маяк,"на берегу Мастрюковских озер, Курумоч 443020 Россия",53.47022,49.938347
2020-10-23,Самарская область,Самара,Отели,,,На Дворянской,"ул.Куйбышева дом 65, Самара 443099 Россия",53.1841,50.087093
2020-10-23,Самарская область,Самара,Отели,,,Старая Самара,"ул. Ленинградская, 75, Самара 443020 Россия",53.18959,50.08371
2020-10-23,Самарская область,Тольятти,Рестораны,,,ФортеПиано,"Маршала Жукова, 35, Тольятти 445051 Россия",53.50464,49.301037
2020-10-23,Самарская область,Тольятти,Рестораны,,,Хлопок,"Ворошилова, 73, Тольятти 445039 Россия",53.51858,49.310654
2020-10-23,Самарская область,Тольятти,Отели,,,"Отель ""Патио""","Автозаводское шоссе, 11, Тольятти 445004 Россия",53.53867,49.388115
2020-10-23,Самарская область,Самара,Отели,,,Хостел ДОМ,"ул. Ново-садовая, 106O, Самара 443068 Россия",53.22188,50.152733
2020-10-23,Самарская область,Самара,Отели,,,Отель  Прага,"Таксомоторный пер., 10, Самара 443079 Россия",53.19873,50.18795
