с0_id,с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
6002796,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,Центральное,"Кирова, 46, Сочи 354340 Россия",43.42138,39.92021
8512331,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,Дарина,"Батумское шоссе, д. 49а, Сочи 354207 Россия",43.65558,39.69295
6002710,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,Эдем,"Гастелло, 30а/6, Сочи 354340 Россия",43.454063,39.92056
20034380,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,"Таверна ""Вертолетчик""","ул. Джапаридзе,  53/5а, Сочи 354055 Россия",43.684097,39.758675
14912954,2020-12-15,Краснодарский край,Туапсинский район,Рестораны,,,ПроСуши,"Сочинская, д. 2, Туапсе 352801 Россия",44.10137,39.09189
12512471,2020-12-15,Краснодарский край,Туапсинский район,Рестораны,,,Bamboo,"с.Агой ПГЛК Парус, Агой 352830 Россия",44.13587,39.0269
17727920,2020-12-15,Краснодарский край,Геленджикский район,Рестораны,,,Русь,"Ленина, 4А, Дивноморское 353490 Россия",44.50195,38.12823
6003091,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,Очаг,"Челтенхема аллея, 21a, Сочи 354024 Россия",43.56722,39.80244
6003009,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,Сувлачная №1,"Ульянова, 68в, Сочи 354340 Россия",43.54868,39.90573
6003124,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,White Cafe,"ул. Демократическая, 52/1, Сочи 354340 Россия",43.42938,39.92879
14079501,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,Ресторан Огород,"ул.  Черноморская,  15, Сочи 354002 Россия",43.56589,39.74187
20386577,2020-12-15,Краснодарский край,Краснодар,Рестораны,,Кафе,Гастроном № 0,"Жилой комплекс Тургенев, Краснодар Россия",45.06195,38.96393
6024743,2020-12-15,Краснодарский край,Краснодар,Рестораны,,,Клуб,"Ставропольская, 336 к1, Краснодар 350058 Россия",45.00309,39.01918
6025066,2020-12-15,Краснодарский край,Геленджикский район,Рестораны,,Фастфуд,Москва,"Островского, 10, Геленджик 353460 Россия",44.56145,38.07851
4224873,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,Причал №1,"ул. Войкова, 1/1 Причал №1 Морского вокзала, Сочи 354000 Россия",43.58056,39.72141
17792115,2020-12-15,Краснодарский край,Краснодар,Рестораны,,,Искра,"ул. Им. Константина Образцова, 24, Краснодар 350062 Россия",45.065342,38.9586
8484617,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,Утро,"ул. Цветочная, д. 44, Сочи 354340 Россия",43.416298,39.927135
18977048,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,Кафе,Столовая 28,"Сулимовка, д. 7, Эсто-Садок, Сочи 354392 Россия",43.684174,40.26647
15795269,2020-12-15,Краснодарский край,Краснодар,Рестораны,,"Фастфуд,Паб",КЕАТ,"Восточно-Кругликовская, 30/1, Краснодар 350901 Россия",45.04969,39.03006
8500742,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,Sushi Style,"ул. Воровского, 5, Сочи 354000 Россия",43.58525,39.7194
8281820,2020-12-15,Краснодарский край,Джубга,Рестораны,,,ЧайХона Караван,"Новороссийское шоссе, 117, Джубга 352844 Россия",44.341896,38.703926
9743823,2020-12-15,Краснодарский край,Краснодар,Рестораны,,Бар,"Клуб-Ресторан ""Счастье""","Красноармейская 68, Краснодар 350000 Россия",45.029804,38.974407
2327835,2020-12-15,Краснодарский край,Анапа,Рестораны,,,Ковчег,"Революции пр., 1,, Анапа 353440 Россия",44.893726,37.29952
7903306,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,Байхан,"ул. Новая Заря, 7 ТЦ Море Молл, Сочи 354068 Россия",43.60499,39.732395
15663697,2020-12-15,Краснодарский край,Новороссийск,Рестораны,,,Цех,"Ул. Советов,  66, Новороссийск 353900 Россия",44.714767,37.7808
17424846,2020-12-15,Краснодарский край,Анапа,Рестораны,,,RollBerry,"Белорусский проезд, д.8Е, Анапа 353451 Россия",44.88459,37.33914
6024838,2020-12-15,Краснодарский край,Краснодар,Рестораны,,,Пир Горой,"Уральская, 115, Краснодар 350080 Россия",45.03037,39.02867
